Mater.,prototype,category,dAB,xA,IEA,XA,rcovA,IEB,rcovB
NpP,NaCl,metal,2.808,0.5,6.265,1.36,1.9,10.48,1.07
NpSb,NaCl,metal,3.126,0.5,6.265,1.36,1.9,8.643,1.39
NpTe,NaCl,metal,3.101,0.5,6.265,1.36,1.9,9.009,1.38
PuBi,NaCl,metal,3.175,0.5,6.059,1.28,1.87,7.286,1.48
PuC,NaCl,metal,2.487,0.5,6.059,1.28,1.87,11.26,0.76
PuN,NaCl,metal,2.453,0.5,6.059,1.28,1.87,14.53,0.71
PuP,NaCl,metal,2.775,0.5,6.059,1.28,1.87,10.48,1.07
PuS,NaCl,metal,2.771,0.5,6.059,1.28,1.87,10.36,1.05
PuSb,NaCl,metal,3.119,0.5,6.059,1.28,1.87,8.643,1.39
AgBr,NaCl,nonmetal,2.939,0.5,7.576,1.93,1.45,11.81,1.2
AgCl,NaCl,nonmetal,2.775,0.5,7.576,1.93,1.45,12.96,1.02
AgF,NaCl,nonmetal,2.46,0.5,7.576,1.93,1.45,17.42,0.57
BaO,NaCl,nonmetal,2.77,0.5,5.212,0.89,2.15,13.61,0.66
BaS,NaCl,nonmetal,3.194,0.5,5.212,0.89,2.15,10.36,1.05
BaSe,NaCl,nonmetal,3.3,0.5,5.212,0.89,2.15,9.752,1.2
BaTe,NaCl,nonmetal,3.503,0.5,5.212,0.89,2.15,9.009,1.38
KBr,NaCl,nonmetal,3.301,0.5,4.34,0.82,2.03,11.81,1.2
LiBr,NaCl,nonmetal,2.745,0.5,5.391,0.98,1.28,11.81,1.2
NaBr,NaCl,nonmetal,2.958,0.5,5.138,0.93,1.66,11.81,1.2
RbBr,NaCl,nonmetal,3.418,0.5,4.176,0.82,2.2,11.81,1.2
CaS,NaCl,nonmetal,2.8,0.5,6.112,1,1.76,10.36,1.05
CaSe,NaCl,nonmetal,2.956,0.5,6.112,1,1.76,9.752,1.2
CaTe,NaCl,nonmetal,3.05,0.5,6.112,1,1.76,9.009,1.38
CdO,NaCl,nonmetal,2.348,0.5,8.994,1.69,1.44,13.61,0.66
CsF,NaCl,nonmetal,3.001,0.5,3.893,0.79,2.44,17.42,0.57
CsH,NaCl,nonmetal,3.188,0.5,3.893,0.79,2.44,13.59,0.31
LiF,NaCl,nonmetal,2.01,0.5,5.391,0.98,1.28,17.42,0.57
NaF,NaCl,nonmetal,2.38,0.5,5.138,0.93,1.66,17.42,0.57
RbF,NaCl,nonmetal,2.865,0.5,4.176,0.82,2.2,17.42,0.57
KH,NaCl,nonmetal,2.85,0.5,4.34,0.82,2.03,13.59,0.31
LiH,NaCl,nonmetal,2.032,0.5,5.391,0.98,1.28,13.59,0.31
NaH,NaCl,nonmetal,2.451,0.5,5.138,0.93,1.66,13.59,0.31
KI,NaCl,nonmetal,3.53,0.5,4.34,0.82,2.03,10.45,1.39
LiI,NaCl,nonmetal,3.03,0.5,5.391,0.98,1.28,10.45,1.39
NaI,NaCl,nonmetal,3.233,0.5,5.138,0.93,1.66,10.45,1.39
RbI,NaCl,nonmetal,3.669,0.5,4.176,0.82,2.2,10.45,1.39
MgO,NaCl,nonmetal,2.103,0.5,7.645,1.31,1.41,13.61,0.66
MgSe,NaCl,nonmetal,2.731,0.5,7.645,1.31,1.41,9.752,1.2
SrO,NaCl,nonmetal,2.588,0.5,5.695,0.95,1.95,13.61,0.66
SrSe,NaCl,nonmetal,3.114,0.5,5.695,0.95,1.95,9.752,1.2
SrTe,NaCl,nonmetal,3.33,0.5,5.695,0.95,1.95,9.009,1.38
KCl,NaCl,nonmetal,3.142,0.5,4.34,0.82,2.03,12.96,1.02
CaO,NaCl,nonmetal,2.405,0.5,6.112,1,1.76,13.61,0.66
NaCl,NaCl,nonmetal,2.81,0.5,5.138,0.93,1.66,12.96,1.02
